Tmax,best_valid_acc
0.6,0.2610909090909091
0.7,0.3003636363636364
0.8,0.3090909090909091
0.9,0.2887272727272727
1.0,0.30763636363636365
1.1,0.3010909090909091
1.2000000000000002,0.2909090909090909
1.3,0.2923636363636364
1.4,0.344
1.5,0.312
1.6,0.3265454545454545
1.7000000000000002,0.35345454545454547
1.8,0.3010909090909091
1.9000000000000001,0.3229090909090909
2.0,0.32436363636363635
2.1,0.2923636363636364
2.2,0.29454545454545455
2.3,0.31636363636363635
2.4000000000000004,0.3018181818181818
2.5,0.27854545454545454
2.6,0.2952727272727273
2.7,0.3090909090909091
2.8000000000000003,0.3221818181818182
2.9000000000000004,0.27854545454545454
3.0,0.31927272727272726
3.1,0.2989090909090909
3.2,0.2887272727272727
3.3000000000000003,0.29963636363636365
3.4000000000000004,0.3301818181818182
3.5,0.28145454545454546
3.6,0.30472727272727274
3.7,0.3149090909090909
3.8000000000000003,0.3054545454545455
3.9000000000000004,0.30836363636363634
4.0,0.2989090909090909
4.1,0.31636363636363635
4.2,0.28945454545454546
4.300000000000001,0.30618181818181817
4.4,0.32
4.5,0.3003636363636364
4.6000000000000005,0.2887272727272727
4.7,0.296
4.8,0.288
4.9,0.29163636363636364
5.0,0.3330909090909091
5.1000000000000005,0.3141818181818182
5.2,0.31127272727272726
5.300000000000001,0.31345454545454543
5.4,0.3250909090909091
5.5,0.31927272727272726
5.6000000000000005,0.2909090909090909
5.7,0.3381818181818182
5.800000000000001,0.2887272727272727
5.9,0.25745454545454544
6.0,0.30763636363636365
6.1000000000000005,0.3367272727272727
6.2,0.2887272727272727
6.300000000000001,0.2901818181818182
6.4,0.26690909090909093
6.5,0.3265454545454545
6.6000000000000005,0.29745454545454547
6.7,0.32072727272727275
6.800000000000001,0.26981818181818185
6.9,0.32581818181818184
7.0,0.31781818181818183
7.1000000000000005,0.32727272727272727
7.2,0.2843636363636364
7.300000000000001,0.27345454545454545
7.4,0.2901818181818182
7.5,0.34545454545454546
7.6000000000000005,0.30472727272727274
7.7,0.2989090909090909
7.800000000000001,0.29963636363636365
7.9,0.3330909090909091
8.0,0.2690909090909091
8.100000000000001,0.2727272727272727
8.2,0.288
8.3,0.3367272727272727
8.4,0.2901818181818182
8.5,0.29818181818181816
8.6,0.312
8.700000000000001,0.2843636363636364
8.8,0.328
8.9,0.27490909090909094
9.0,0.29163636363636364
9.1,0.32072727272727275
9.200000000000001,0.3018181818181818
9.3,0.2952727272727273
9.4,0.3069090909090909
9.5,0.2923636363636364
9.6,0.2872727272727273
9.700000000000001,0.2712727272727273
9.8,0.3512727272727273
9.9,0.32581818181818184
10.0,0.32
10.100000000000001,0.34254545454545454
10.200000000000001,0.3141818181818182
10.3,0.29745454545454547
10.4,0.2901818181818182
10.5,0.2850909090909091
10.600000000000001,0.2952727272727273
10.700000000000001,0.30327272727272725
10.8,0.29963636363636365
10.9,0.32072727272727275
11.0,0.2858181818181818
11.100000000000001,0.3229090909090909
11.200000000000001,0.32
11.3,0.304
11.4,0.29672727272727273
11.5,0.2858181818181818
11.600000000000001,0.3010909090909091
11.700000000000001,0.2858181818181818
11.8,0.2938181818181818
11.9,0.30327272727272725
12.0,0.35854545454545456
12.100000000000001,0.3301818181818182
12.200000000000001,0.31636363636363635
12.3,0.2661818181818182
12.4,0.30618181818181817
12.5,0.296
12.600000000000001,0.2938181818181818
12.700000000000001,0.30763636363636365
12.8,0.31127272727272726
12.9,0.3338181818181818
13.0,0.3090909090909091
