Tmax,best_valid_acc
3.0,0.36533331871032715
4.0,0.37066665291786194
5.0,0.3866666555404663
6.0,0.4986666738986969
7.0,0.7279999852180481
8.0,0.8373333215713501
9.0,0.9226666688919067
10.0,0.984000027179718
11.0,1.0
12.0,1.0
13.0,1.0
14.0,1.0
15.0,1.0
16.0,1.0
17.0,1.0
18.0,1.0
19.0,1.0
20.0,1.0
21.0,1.0
22.0,1.0
