epoch,train_loss,valid_loss,train_acc,valid_acc
-1,,,0.09090909090909091,0.09090909090909091
0,0.035189591348171234,0.03323093801736832,0.02393939393939394,0.01818181818181818
1,0.0326116681098938,0.030824922025203705,0.019696969696969695,0.01818181818181818
2,0.030316991731524467,0.02868892438709736,0.029696969696969697,0.02
3,0.02828708477318287,0.0268055759370327,0.03727272727272727,0.031818181818181815
4,0.02649879641830921,0.025151755660772324,0.05515151515151515,0.04363636363636364
5,0.024926908314228058,0.023701243102550507,0.05333333333333334,0.04
6,0.02354281023144722,0.02242688275873661,0.056666666666666664,0.04818181818181818
7,0.022322433069348335,0.02130480855703354,0.060909090909090906,0.05818181818181818
8,0.02124401554465294,0.020313890650868416,0.06787878787878789,0.07363636363636364
9,0.02028990536928177,0.019437866285443306,0.06636363636363636,0.08363636363636363
10,0.019443390890955925,0.01866041123867035,0.05848484848484849,0.06363636363636363
11,0.018702898174524307,0.017981430515646935,0.051515151515151514,0.05818181818181818
12,0.018085546791553497,0.017416970804333687,0.051515151515151514,0.053636363636363635
13,0.01752915233373642,0.01690700650215149,0.05,0.04818181818181818
14,0.017025688663125038,0.016444314271211624,0.045454545454545456,0.038181818181818185
15,0.016568485647439957,0.01602289080619812,0.044848484848484846,0.04090909090909091
16,0.01615230180323124,0.015638303011655807,0.044848484848484846,0.04090909090909091
17,0.01577216386795044,0.015286278910934925,0.04818181818181818,0.045454545454545456
18,0.015424305573105812,0.01496342197060585,0.04666666666666667,0.05090909090909091
19,0.015104353427886963,0.014666006900370121,0.04666666666666667,0.045454545454545456
20,0.014810176566243172,0.014391973614692688,0.04606060606060606,0.046363636363636364
21,0.014539260417222977,0.014139127917587757,0.04212121212121212,0.042727272727272725
22,0.014288771897554398,0.013904820196330547,0.04151515151515151,0.038181818181818185
23,0.014057036489248276,0.013687705621123314,0.04,0.04090909090909091
24,0.013842152431607246,0.01348613016307354,0.038181818181818185,0.04
25,0.013642655685544014,0.013298816047608852,0.04090909090909091,0.04909090909090909
26,0.01345689594745636,0.013124316930770874,0.04212121212121212,0.05181818181818182
27,0.013283727690577507,0.01296148169785738,0.04212121212121212,0.04727272727272727
28,0.013122008182108402,0.012809340842068195,0.044848484848484846,0.05181818181818182
29,0.012970784679055214,0.012666992843151093,0.046363636363636364,0.056363636363636366
30,0.012829344719648361,0.012533833272755146,0.04666666666666667,0.05454545454545454
31,0.012696432881057262,0.012408658862113953,0.04757575757575758,0.053636363636363635
32,0.012571587227284908,0.012291060760617256,0.04454545454545455,0.05090909090909091
33,0.012454052455723286,0.012180250138044357,0.04606060606060606,0.046363636363636364
34,0.012343307957053185,0.012075860984623432,0.043333333333333335,0.045454545454545456
35,0.01223866455256939,0.011977257207036018,0.04242424242424243,0.046363636363636364
36,0.012139741331338882,0.01188407838344574,0.04181818181818182,0.04909090909090909
37,0.012046054005622864,0.011795802041888237,0.04181818181818182,0.04727272727272727
